label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year,match_probability,action
0,guest editor 's introduction,,,2002,guest editor,a dogac,"acm sigmod record special section on electronic commerce ,",,0.2703,flag-review
1,the aqua approximate query answering system,"s acharya , p gibbons , v poosala , s ramaswamy",sigmod conference,1999,aqua : system and techniques for approximate query answering,"pb gibbons , v poosala , s acharya , y bartal , y",,,0.2703,flag-review
1,the database research group at eth zurich,"m norrie , s blott , h schek , g weikum",sigmod record,1994,from the kernel to the cosmos : the database research group at eth zurich,"hj schek , mh scholl , g weikum",,,0.2703,flag-review
0,implementing lazy database updates for an object database system,"f ferrandina , t meyer , r zicari",vldb,1994,correctness of lazy database updates for object database systems,"f ferrandina , t meyer , r zicari",,,0.2703,flag-review
0,guest editorial,,,2003,guest editorial,"jr gruser , l raschid , v zadorozhny","the vldb journal ,",2000.0,0.2703,flag-review
1,the effectiveness of gloss for the text database discovery problem,"l gravano , h garcia-molina , a tomasic",sigmod conference,1994,"garc ä ± a-molina , h. , and tomasic , a. 1994 . the effectiveness of gloss for the text database",l gravano,proceedings of the 1994 acm sigmod international conference,,0.2703,flag-review
1,data mining with optimized two-dimensional association rules,"t fukuda , y morimoto , s morishita , t tokuyama",acm trans . database syst .,2001,optimized two dimensional optimization rules,"t fukuda , y morimoto , s morishita , t tokuyama","proc . sigmod ,",,0.2703,flag-review
1,oodb indexing by class-division,"s ramaswamy , p kanellakis",sigmod conference,1995,"oodb indexing by class division , apic series","s ramaswamy , p kanellakis",,1995.0,0.2703,flag-review
1,"information visualization , guest editors ' foreword",,,1996,information visualization guest editors ' foreword,"e ioannidis , r beigel , b shneiderman , jb kennedy ,","sigmod record ,",1996.0,0.2703,flag-review
1,adaptive filters for continuous queries over distributed data streams,"c olston , j jiang , j widom",sigmod conference,2003,widomj ( 2003 ) adaptivefiltersforcontinuous queries over distributed data streams,jj olstonc,proceedings of acm sigmod,,0.2703,flag-review
0,"review of data on the web : from relational to semistructured data and xml by serge abiteboul , peter buneman , and dan suciu . morgan kaufmann 1999",,,2003,data on the web : from relational to semistructured data and xml,"s abiteboul , p buneman , d suciu","sigmod record ,",2003.0,0.2703,flag-review
0,lof : identifying density-based local outliers,"m breunig , h kriegel , r ng , j sander",sigmod conference,2000,lof : identifying outliers in large dataset,"mm breunig , hp kriegel , rt ng , j sander","proc . of acm sigmod ,",,0.2703,flag-review
0,revisiting commit processing in distributed database systems,"r gupta , j haritsa , k ramamritham",sigmod conference,1997,characterization and optimization of commit processing performance in distributed database systems,"j haritsa , k ramamritham , r gupta",,,0.2703,flag-review
0,keynote address,,,1995,a keynote address,pe deegan,"the sixth annual mental health services conference of & hellip ; ,",,0.2703,flag-review
1,special issue on data mining for intrusion detection and threat analysis - guest editor 's introduction,,,2001,special section on data mining for intrusion detection and threat analysis,d barbarã ¡,"acm sigmod record ,",2001.0,0.2703,flag-review
0,polymorphism and type inference in database programming,"p buneman , a ohori",acm trans . database syst .,1996,type inference in a database programming language,"a ohori , p buneman",,,0.2703,flag-review
0,guest editorial,,,2003,guest editorial,gh rassool,"journal of advanced nursing ,",2000.0,0.2703,flag-review
0,exploratory mining via constrained frequent set queries,"r ng , l lakshmanan , j han , t mah",sigmod conference,1999,exploratory mining and pruning optimizations of constrained association queries,"rt ng , lvs lakshmanan , j han , a pang","proc . of the acm sigmod conference on management of data ,",,0.2703,flag-review
0,guest editor 's introduction,,,2003,taking issue : guest editor 's introduction,hj levesque,"computational intelligence ,",,0.2703,flag-review
0,algorithms for materialized view design in data warehousing environment,"j yang , k karlapalem , q li",vldb,1997,evaluation of materialized view indexing in data warehousing environments,"l bellatreche , k karlapalem , q li",,,0.2703,flag-review
0,guest editorial,,,2000,guest editorial,"a el abbadi , g schlageter , ky whang","the vldb journal the international journal on very large & hellip ; ,",2001.0,0.2703,flag-review
0,infomaster : an information integration system,"m genesereth , a keller , o duschka",sigmod conference,1997,infomaster-an information integration tool,"om duschka , mr genesereth",,,0.2703,flag-review
0,indexing of now-relative spatio-bitemporal data,"s saltenis , c jensen",vldb j.,2002,r-tree based indexing of now-relative bitemporal data,"r bliujute , cs jensen , s saltenis , g slivinskas","vldb ,",1998.0,0.2703,flag-review
0,broadcast protocols to support efficient retrieval from databases by mobile users,"a datta , d vandermeer , a celik , v kumar",acm trans . database syst .,1999,adaptive broadcast protocols to support power conservant retrieval by mobile users,"a datta , a celik , j kim , de vandermeer",,,0.2703,flag-review
0,parametric query optimization,"y ioannidis , r ng , k shim , t sellis",vldb j.,1997,parametric query optimization,j madhavan,,,0.2703,flag-review
0,editorial,,,2001,editorial,p willis,"bt technology journal ,",2000.0,0.2703,flag-review
0,guest editorial,,,2003,guest editorial,mp atkinson,"the vldb journal the international journal on very large & hellip ; ,",2000.0,0.2703,flag-review
0,editor 's notes,m franklin,sigmod record,1999,editor 's notes,sm richardson,"new directions for teaching and learning ,",1999.0,0.2703,flag-review
0,coalescing in temporal databases,"m bіhlen , r snodgrass , m soo",vldb,1996,temporal databases,rt snodgrass,,,0.2703,flag-review
0,xquery : a query language for xml,,,2003,a query language for a web-site management system,"d florescu , a levy , m fernandez , d suciu","sigmod record ,",,0.2703,flag-review
1,distance-based indexing for high-dimensional metric spaces,"t bozkaya , z жzsoyoglu",sigmod conference,1997,distance-basedindexing for high dimensional metric spaces,tbm ozsoyoglu,"proc . of sigmod ,",,0.2703,flag-review
0,"sqlj part 0 , now known as sql/olb ( object-language bindings )","a eisenberg , j melton",sigmod record,1998,"0 , now known as sql/olb ( object-language bindings )",s part,,1998.0,0.2703,flag-review
0,a framework for clustering evolving data streams,"c aggarwal , j han , j wang , p yu",vldb,2003,a framework for diagnosing changes in evolving data streams,cc aggarwal,,,0.2703,flag-review
0,reordering query execution in tertiary memory databases,"s sarawagi , m stonebraker",vldb,1996,query processing in tertiary memory databases,s sarawagi,,1996.0,0.2703,flag-review
0,querying xml views of relational data,"j shanmugasundaram , j kiernan , e shekita , c fan , j funderburk",vldb,2001,triggers over xml views of relational data,"f shao , a novak , j shanmugasundaram",,,0.2703,flag-review
0,parametric query optimization for linear and piecewise linear cost functions,"a hulgeri , s sudarshan",vldb,2002,parametric query optimization,a hulgeri,,2004.0,0.25,flag-review
0,using probabilistic information in data integration,"d florescu , d koller , a levy",vldb,1997,information integration,a levy,,,0.25,flag-review
0,optimization of run-time management of data intensive web-sites,"d florescu , a levy , d suciu , k yagoub",vldb,1999,"sd , and yk optimization of run-time management of data intensive web-sites",la fd,proceedings of the 25th international conference on very,,0.25,flag-review
0,the lotus notes storage system,k moore,sigmod conference,1995,the lotus notes [ tm ] storage system,portal.acm.org,"sigmod record ,",1995.0,0.25,flag-review
0,the asilomar report on database research,"p bernstein , m brodie , s ceri , d dewitt , m franklin , h garcia-molina , j gray , g held , j hellerstein , h jagadish , m lesk , d maier , j naughton , h pirahesh , m stonebraker , j ullman",sigmod record,1998,ullman jeffery d. the asilomar report on database research [ j ],s michael,"sigmod record ,",,0.25,flag-review
0,e-services - guest editorial,,,2001,guest editorial,ay halevy,"the vldb journal the international journal on very large & hellip ; ,",2002.0,0.25,flag-review
1,privacy-preserving indexing of documents on the network,"m bawa , r jr. , r agrawal",vldb,2003,"rjb jr. , and r. agrawal . privacy preserving indexing of documents on the network",m bawa,,2003.0,0.25,flag-review
0,secure bufering in firm real-time database systems,"b george , j haritsa",vldb j.,2000,secure transaction processing in firm real-time database systems,"b george , j haritsa","sigmod conference ,",1997.0,0.25,flag-review
0,a-topss - a publish/subscribe system supporting approximate matching,"h liu , h jacobsen",vldb,2002,a-topss : a publish/subscribe system supporting imperfect information processing,"h liu , ha jacobsen",,,0.25,flag-review
0,approximate query processing : taming the terabytes,"m garofalakis , p gibbons",vldb,2001,approximate query processing using wavelets,"k chakrabarti , m garofalakis , r rastogi , k shim","the vldb journal the international journal on very large & hellip ; ,",2001.0,0.25,flag-review
0,query unnesting in object-oriented databases,l fegaras,sigmod conference,1998,querying object-oriented databases,m kifer,,,0.25,flag-review
1,coordinating backup/recovery and data consistency between database and file systems,"s bhattacharya , c mohan , k brannon , i narang , h hsiao , m subramanian",sigmod conference,2002,coordinated backup and recovery between dbms and file systems,"i narang , c mohan , k brannon","ibm research report , ibm almaden research center , oct ,",,0.25,flag-review
0,xml-based information mediation with mix,"c baru , a gupta , b ludфscher , r marciano , y papakonstantinou , p velikhov , v chu",sigmod conference,1999,xml-based information mediation for digital libraries,"ck baru , v chu , a gupta , b ludaescher , r marciano ,",,,0.25,flag-review
0,online aggregation,"j hellerstein , p haas , h wang",sigmod conference,1997,join algorithms for online aggregation,"pj haas , jm hellerstein",,1998.0,0.25,flag-review
0,the query by image content ( qbic ) system,"j ashley , m flickner , j hafner , d lee , w niblack , d petkovic",sigmod conference,1995,query by image and video content : the qbic system,"m plickner , h sawhney",,1995.0,0.25,flag-review
0,tree pattern query minimization,"s amer-yahia , s cho , l lakshmanan , d srivastava",vldb j.,2002,minimization of tree pattern queries,"s amer-yahia , s cho , lvs lakshmanan , d srivastava",,,0.25,flag-review
1,capbased-ams : a capability-based and event-driven activity management system,"p hung , h yeung , k karlapalem",sigmod conference,1996,"h. p1 . yeung and k. karlapalem , capbased-ams : a capability-based and event-driven activity",pck hung,proceedings of the acm sigmod conference on management of,,0.2426,flag-review
0,guest editor 's introduction,,,2003,guest editor 's introduction : assuring software quality assurance,jm voas,"ieee software ,",2003.0,0.2426,flag-review
0,efficient algorithms for processing xpath queries,"g gottlob , c koch , r pichler",vldb,2002,efficient algorithms for processing xpath queries,"a halverson , j burger , l galanis , a kini , r",,2003.0,0.2402,flag-review
0,reminiscences on influential papers,,,2001,reminiscences on influential papers,ka ross,sigmod,2002.0,0.2353,flag-review
0,zoo : a desktop experiment management environment,"y ioannidis , m livny , s gupta , n ponnekanti",vldb,1996,zoo : a desktop emperiment management environment .,"acms anthology , p edition",,,0.2353,flag-review
0,design and management of data warehouses : report on the dmdw '99 workshop,"s gatziu , m jeusfeld , m staudt , y vassiliou",sigmod record,1999,report on the 5 thinternational workshop on the design and management of data warehouses ( dmdwâ ?? 03 ),"hj lenz , p vassiliadis , m jeusfeld , m staudt","sigmod record ,",2003.0,0.2353,flag-review
0,approximate query processing : taming the terabytes,"m garofalakis , p gibbons",vldb,2001,approximate query processing using wavelets,"kc cgrs , mn garofalakis , r rastogi , k shim",proceedings of the international conference on very large,,0.2353,flag-review
0,editorial,,,2001,editorial,"j harmer , j turnbull","bt technology journal ,",2002.0,0.2353,flag-review
0,guest editor 's introduction,,,2002,guest editor 's introduction,y singer,"machine learning ,",2001.0,0.2353,flag-review
0,enhanced abstract data types in object-relational databases,p seshadri,vldb j.,1998,the case for enhanced abstract data types,"r ramakrishnan , p seshadri , m livny","proc . of vldb ,",,0.2353,flag-review
1,from structured documents to novel query facilities,"v christophides , s abiteboul , s cluet , m scholl",sigmod conference,1994,"v. andabiteboul , s. cluet , and m. scholl . from structured documents to novel query facilities",s christophides,,,0.2353,flag-review
0,finding hierarchical heavy hitters in data streams,"g cormode , f korn , s muthukrishnan , d srivastava",vldb,2003,diamond in the rough : finding hierarchical heavy hitters in multi-dimensional data,"g cormode , f korn , s muthukrishnan , d srivastava","proc . acm sigmod ,",2004.0,0.2353,flag-review
0,infering structure in semistructured data,"s nestorov , s abiteboul , r motwani",sigmod record,1997,ozone : integrating structured and semistructured data,"s abiteboul , r goldman , t lahiri , j mchugh , j","technical report , stanford university database group ,",,0.2353,flag-review
0,model-based information integration in a neuroscience mediator system,"b ludфscher , a gupta , m martone",vldb,2000,a mediator system for model-based information integration,"b ludã $ scher , a gupta , m martone",int . conf .,,0.2353,flag-review
1,query caching and optimization in distributed mediator systems,"s adali , k candan , y papakonstantinou , v subrahmanian",sigmod conference,1996,"querycachingandoptimizationindistributed mediatorsystems , inh . v. jagadish and inderpal singh mumick","s adali , ks candan , y papakonstantinou , vs","proc . of the 1996 acm sigmod conf . on managementof data ,",,0.2353,flag-review
0,editorial,,,2002,editorial,"g cosier , p hughes","bt technology journal ,",2001.0,0.2353,flag-review
1,the wasa2 object-oriented workflow management system,"g vossen , m weske",sigmod conference,1999,the wasa approach to workflow management for scientij,"g vossen , m weske","applications . in : a. dogac , l. kahnichenko , mt zsu , a. sheth",,0.2353,flag-review
1,efficient concurrency control for broadcast environments,"j shanmugasundaram , a nithrakashyap , r sivasankaran , k ramamritham",sigmod conference,1999,efficiellt concurrency control for broadcast environmqmts univ,j shanmugasundaramâ ? ¦,of massachusetts technical report,,0.2,flag-review
0,a framework for clustering evolving data streams,"c aggarwal , j han , j wang , p yu",vldb,2003,a framework for projected clustering of high dimensional data streams,c aggarwal,"proceedings of the international conference on very large & hellip ; ,",2004.0,0.2,flag-review
1,advanced xml data processing - guest editor 's introduction,k aberer,sigmod record,2001,special section on advanced xml data processing,k aberer,"acm sigmod record ,",,0.2,flag-review
0,the query by image content ( qbic ) system,"j ashley , m flickner , j hafner , d lee , w niblack , d petkovic",sigmod conference,1995,query by image and video content : the qbic system,"f myron , s harpreet , n wayne",,1995.0,0.2,flag-review
0,data staging for on-demand broadcast,"d aksoy , m franklin , s zdonik",vldb,2001,pull for data broadcast,"s acharya , m franklin , s zdonik , b push","proc . acm sigmod conf. , tucson , az , may ,",,0.2,flag-review
1,amicalola report : database and information system research challenges and opportunities in semantic web and enterprises,"a sheth , r meersman",sigmod record,2002,database and information systems research database and information systems research for semantic web,"a sheth , r meersman",,,0.2,flag-review
0,algorithms for materialized view design in data warehousing environment,"j yang , k karlapalem , q li",vldb,1997,genetic algorithm for materialized view selection in data warehouse environments,"c zhang , j yang",,,0.2,flag-review
0,a query language for a web-site management system,"m fernandez , d florescu , a levy , d suciu",sigmod record,1997,catching the boat with strudel : experience with a web-site management system,"d florescu , m fernandez , j kang , a levy , d suciu",proceedings of acm sigmod conference on management of,,0.2,flag-review
0,catching the boat with strudel : experiences with a web-site management system,"m fernandez , d florescu , j kang , a levy , d suciu",sigmod conference,1998,overview of strudel - a web-site management system,"mf fernandez , d florescu , j kang , ay levy , d suciu",,,0.2,flag-review
1,an effective hash based algorithm for mining association rules,"j park , m chen , p yu",sigmod conference,1995,an effective hash-based algorithm for mining association rules . in : proc . of the 1995 acm sigmod,js park,,1995.0,0.2,flag-review
0,editor 's notes,j widom,sigmod record,1996,editor 's notes,r goldstein,"the american statistician ,",1996.0,0.1854,flag-review
0,lore : a lightweight object repository for semistructured data,"d quass , j widom , r goldman , k haas , q luo , j mchugh , s nestorov , a rajaraman , h rivero , s abiteboul , j ullman , j wiener",sigmod conference,1996,lore : a db management system for semistructured data,"j mchugh , s abiteboul , r goldman , d quass , j widom","sigmod rec ,",,0.1676,flag-review
0,analysis of predictive spatio-temporal queries,"y tao , j sun , d papadias",acm trans . database syst .,2003,selectivity estimation for predictive spatio-temporal queries,"y tao , j sun , d papadias",,,0.1351,flag-review
0,a user-centered interface for querying distributed multimedia databases,"i cruz , k james",sigmod conference,1999,user interface for distributed multimedia database querying with mediator supported refinement,"if cruz , km james",,,0.1351,flag-review
1,small worlds : the dynamics of networks between order and randomness - book review,,,2002,small worlds : the dynamics of networks between order and randomness,dj watts,,1999.0,0.1351,flag-review
0,editorial,,,2002,editorial,s rudkin,"bt technology journal ,",2005.0,0.1351,flag-review
0,online dynamic reordering for interactive data processing,"v raman , b raman , j hellerstein",vldb,1999,online dynamic reordering,"v raman , b raman , jm hellerstein","the vldb journal the international journal on very large & hellip ; ,",2000.0,0.1351,flag-review
0,wavecluster : a multi-resolution clustering approach for very large spatial databases,"g sheikholeslami , s chatterjee , a zhang",vldb,1998,wavecluster : a wavelet based clustering approach for spatial data,g sheikholeslamiâ ? ¦,"vldb journal ,",,0.1351,flag-review
0,shoring up persistent applications,"m carey , d dewitt , m franklin , n hall , m mcauliffe , j naughton , d schuh , m solomon , c tan , o tsatalos , s white , m zwilling",sigmod conference,1994,"carey , and al. shoring up persistent applications","sb davidson , as koskym","proc . acm sigmod symp . on the management of data ,",,0.1351,flag-review
0,data mining techniques,j han,sigmod conference,1996,data mining techniques,"mja berry , g linoff",,1997.0,0.1351,flag-review
0,editorial,,,2001,editorial,"p muschamp , j hill","bt technology journal ,",2004.0,0.1351,flag-review
0,sonar : system for optimized numeric associationrules,"t fukuda , y morimoto , s morishita , t tokuyama",sigmod conference,1996,"data mining using two-dimensional optimized association rules for numeric attributes : scheme ,","t fukuda , y morimoto , s morishita , t tokuyama","acm sigmod conference proceedings ,",,0.1351,flag-review
0,"database tuning : principles , experiments , and troubleshooting techniques ( part ii )","d shasha , p bonnet",sigmod conference,2002,database tuning : principles,"d shasha , p bonnet","experiments and troubleshooting techniques , morgan kaufmann ,",,0.1351,flag-review
0,efficient retrieval of similar shapes,"d rafiei , a mendelzon",vldb j.,2002,efficient retrieval of similar time sequences using dft,"d rafiei , a mendelzon","arxiv preprint cs.db / 9809033 ,",1998.0,0.1351,flag-review
0,a cost model for clustered object-oriented databases,"g gardarin , j gruser , z tang",vldb,1995,an axiomatic model for deductive object-oriented databases,"zt kardkovacs , gm suranyi",,,0.1351,flag-review
0,dynamic load balancing in hierarchical parallel database systems,"l bouganim , d florescu , p valduriez",vldb,1996,dynamic load balancing in parallel database systems,e rahm,,,0.1351,flag-review
0,dec data distributor : for data replication and data warehousing,d dietterich,sigmod conference,1994,"pp. 1â ?? 12 . dietterich , dj 1994 . dec data distributor : for data replication and data warehousing",a canada,"int . conf ,",,0.1351,flag-review
0,an approach for building secure database federations,"d jonscher , k dittrich",vldb,1994,access control for database federations,"d jonscher , kr dittrich",,,0.1351,flag-review
0,practical predicate placement,j hellerstein,sigmod conference,1994,practical predicate dispatch,t millstein,,,0.1351,flag-review
0,evolution and change in data management - issues and directions,"j roddick , l al-jadir , l bertossi , m dumas , f estrella , h gregersen , k hornsby , j lufter , f mandreoli , t mфnnistі , e mayol , l wedemeijer",sigmod record,2000,evolution and change in data management-issues and directions .,acms anthology,"sigmod record ,",2000.0,0.1351,flag-review
0,"domains , relations and religious wars",r camps,sigmod record,1996,"in reply to domains , relations and religious wars",h darwen,"acm sigmod record ,",1996.0,0.1351,flag-review
0,mining quantitative association rules in large relational tables,"r srikant , r agrawal",sigmod conference,1996,mining generfized association rules,"r srikant , r agrawal","proc . 1995 int . conf . very large data bases , zrich ,",,0.1351,flag-review
0,online aggregation,"j hellerstein , p haas , h wang",sigmod conference,1997,ripple joins for online aggregation,"pj haas , jm hellerstein",,,0.1351,flag-review
0,spatial hash-joins,"m lo , c ravishankar",sigmod conference,1996,spatialhash-joins,rcv loml,"proceedingsof acm sigmod conference , montreal ,",,0.1351,flag-review
1,"the hbp-tree : a modified hb-tree supporting concurrency , recovery and node consolidation","g evangelidis , d lomet , b salzberg",vldb,1995,"the hb ^ î - tree : a multi-attribute index supporting concurrency , recovery and node consolidation","g evangelidis , d lomet , b salzberg","the vldb journal the international journal on very large & hellip ; ,",1997.0,0.1351,flag-review
0,mining fuzzy association rules in databases,"c kuok , a fu , m wong",sigmod record,1998,mining fuzzy association rules,"kcc chan , wh au",,,0.1351,flag-review
0,answering queries with aggregation using views,"d srivastava , s dar , h jagadish , a levy",vldb,1996,answering sql queries using materialized views,"s dar , hv jagadish , ay levy , d srivastava","proc . 22nd international conference on very large data bases & hellip ; ,",,0.1351,flag-review
0,synthesis of extended transaction models using acta,"p chrysanthis , k ramamritham",acm trans . database syst .,1994,"p. and rama mri tham , k. 1994 . synthesis of extended transaction models using acta",n chrysa,acm transactions on database,,0.1351,flag-review
1,nearest neighbor queries,"n roussopoulos , s kelley , f vincent",sigmod conference,1995,ã cents â ? ¬ å?nearest neighbor queriesã cents â ? ¬ â ?,"n roussopoulos , s kelley , f vincent",proceedings of the 1995 acm sigmod,,0.1351,flag-review
0,is gui programming a database research problem ?,"n goyal , c hoch , r krishnamurthy , b meckler , m suckow",sigmod conference,1996,programming a database research problem,gui is,"nita goyal , charles hoch , ravi krishnamurthy , brian meckler , & hellip ; ,",,0.1351,flag-review
0,xperanto : middleware for publishing object-relational data as xml documents,"m carey , j kiernan , j shanmugasundaram , e shekita , s subramanian",vldb,2000,xperanto : publishing object-relational data as xml .,"mj carey , d florescu , zg ives , y lu , j","webdb ( informal proceedings ) ,",2000.0,0.1351,flag-review
0,tutorial : data access,,,2000,tutorial : semistructured data,p buneman,"proceedings of acm symposium on principles of database & hellip ; ,",,0.1351,flag-review
0,distributed transactions in practice,"p ram , l do , p drew",sigmod record,1999,the need for asynchronous distributed transactions,"l do , p ram , p drew","proceedings of acm sigmod conference , philadelphia ,",,0.1351,flag-review
0,databases and visualization,d keim,sigmod conference,1996,pixel-oriented database visualizations,da keim,"sigmod record ,",1996.0,0.1351,flag-review
0,multiway spatial joins,"n mamoulis , d papadias",acm trans . database syst .,2001,processing and optimization of multiway spatial joins using r-trees,"d papadias , n mamoulis , y theodoridis","proc acm sigact sigmod sigart symp princ database syst ,",1999.0,0.1351,flag-review
0,broadcast disks : data management for asymmetric communications environments,"s acharya , r alonso , m franklin , s zdonik",sigmod conference,1995,communication environments,"s acharya , r alonso , m franklin , s zdonik","proc . of acm sigmod conference ,",,0.1351,flag-review
0,sql multimedia and application packages ( sql/mm ),"j melton , a eisenberg",sigmod record,2001,standard sql/mm : sql multimedia and application packages,"k jankiewicz , m wojciechowski",,,0.1351,flag-review
0,a monte carlo algorithm for fast projective clustering,"c procopiuc , m jones , p agarwal , t murali",sigmod conference,2002,fast algorithms for projected clustering,"cc aggarwal , c procopiuc , jl wolf , ps yu , js park","sigmod conference ,",1999.0,0.1351,flag-review
0,optimization of dynamic query evaluation plans,"r cole , g graefe",sigmod conference,1994,dynamic query execution plans,"g graefe , k ward","proceedings of the acm sigmod conference , ( may",,0.1351,flag-review
0,orthogonally persistent object systems,"m atkinson , r morrison",vldb j.,1995,preface to special issue on persistent object systems,"m atkinson , r morrison","the vldb journal the international journal on very large & hellip ; ,",1995.0,0.1351,flag-review
0,"design , implementation , and performance of the lham log-structured history data access method","p muth , p o'neil , a pick , g weikum",vldb,1998,the lham log-structured history data access method,"p muth , po ` neil , a pick , g weikum","the vldb journal the international journal on very large & hellip ; ,",2000.0,0.1351,flag-review
0,integration of heterogeneous databases without common domains using queries based on textual similarity,w cohen,sigmod conference,1998,providing database-like access to the web using queries based on textual similarity,ww cohen,"sigmod conference ,",1998.0,0.1351,flag-review
0,adaptive filters for continuous queries over distributed data streams,"c olston , j jiang , j widom",sigmod conference,2003,continues queries over data streams,"s babu , j widom","sigmod record ,",,0.1351,flag-review
0,alias : an active learning led interactive deduplication system,"s sarawagi , a bhamidipaty , a kirpal , c mouli",vldb,2002,interactive deduplication using active learning,s sarawagi,,,0.1351,flag-review
0,architecture of oracle parallel server,"r bamford , d butler , b klots , n macnaughton",vldb,1998,cache coherency in oracle parallel server,b klots,"proceedings of the international conference on very large & hellip ; ,",1996.0,0.1351,flag-review
1,java and relational databases : sqlj ( tutorial ),,,1998,sqlj : java and relational databases,g clossman,,1998.0,0.1351,flag-review
0,efficient algorithms for mining outliers from large data sets,"s ramaswamy , r rastogi , k shim",sigmod conference,2000,cure : an efficient algorithm for large databases,"s guha , r rastogi , k shim","proc . acm sigmod ,",,0.1351,flag-review
1,incremental maintenance of views with duplicates,"t griffin , l libkin",sigmod conference,1995,"n , l. libkin , incremental maintenance of views with duplicates",t gri,"proceedings of the acm-sigmod conference ,",,0.1351,flag-review
0,a scalable algorithm for answering queries using views,"r pottinger , a levy",vldb,2000,answering sql queries using views,"s dar , hv jagadish , ay levy , d srivastava","proc . of vldb ,",,0.1351,flag-review
0,wavecluster : a wavelet based clustering approach for spatial data in very large databases,"g sheikholeslami , s chatterjee , a zhang",vldb j.,2000,wavecluster : a multi-resolution clustering approach for very large spatial databases,"g sheikholeslami , s chatterjee , a zhang","vldb ,",1998.0,0.1351,flag-review
0,"a distributed scientific data archive using the web , xml and sql/med","m papiani , j wason , a dunlop , d nicole",sigmod record,1999,"an architecture for management of large , distributed , scientific data using sql/med and xml .","m papiani , j wason , da nicole",,,0.129,flag-review
0,materialized view and index selection tool for microsoft sql server 2000,"s agrawal , s chaudhuri , v narasayya",sigmod conference,2001,"automated selection of materialized views and indexes for sql databases , materialized view selection","s agrawal , s chaudhuri , v narasayya","proc . of vldb , roma , italy ,",,0.129,flag-review
0,guest editorial,,,2000,guest editorial,kn ngan,ieee trans . circuits syst . video,,0.129,flag-review
0,parallel algorithms for high-dimensional similarity joins for data mining applications,"j shafer , r agrawal",vldb,1997,a fast algorithm for high-dimensional similarity joins,"k shim , r srikant , r agrawal","technical report , ibm almaden research center ,",,0.129,flag-review
0,sql multimedia and application packages ( sql/mm ),"j melton , a eisenberg",sigmod record,2001,sql multimedia application packages ( sql/mm ) - part 2 : full-text,pcisoaw draft,iso/iec sc21/wg3,,0.129,flag-review
0,editor 's notes,,,1997,editor 's notes,wmk trochim,"new directions for program evaluation ,",,0.129,flag-review
